tid,toi,toidisplay,toipfx,ctoi_alias,pl_pnum,tfopwg_disp,st_tmag,st_tmagerr1,st_tmagerr2,st_tmagsymerr,st_tmaglim,rastr,ra,raerr1,raerr2,rasymerr,decstr,dec,decerr1,decerr2,decsymerr,st_pmra,st_pmraerr1,st_pmraerr2,st_pmrasymerr,st_pmralim,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdecsymerr,st_pmdeclim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidsymerr,pl_tranmidlim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbpersymerr,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhsymerr,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandepsymerr,pl_trandeplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radesymerr,pl_radelim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insolsymerr,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtsymerr,pl_eqtlim,st_dist,st_disterr1,st_disterr2,st_distsymerr,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_teffsymerr,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_loggsymerr,st_logglim,st_rad,st_raderr1,st_raderr2,st_radsymerr,st_radlim,sectors,toi_created,rowupdate,release_date,exoplanet_status
305048087,237.01,TOI-237.01,237,305048087.01,1,CP,13.4102,0.007,-0.007,1,0,23h32m58.45s,353.243538,,,,-29d24m59.35s,-29.416487,,,,151.047,0.108,-0.108,1.0,0.0,-333.194,0.156,-0.156,1.0,0.0,2458355.241753,0.002319,-0.002319,1,0,5.4361667,1.67e-05,-1.67e-05,1,0,1.5419673,0.2448138,-0.2448138,1,0,4797.1288482,735.69073,-735.69073,1,0,1.7175409,0.2127978,-0.2127978,1,0,3.6311669,,,,,352.0718502,,,,,38.0749,0.22785,-0.22785,1,0,3139.0,98.0,-98.0,1,0,5.04944,0.547167,-0.547167,1,0,0.211299,0.0065435,-0.0065435,1,0,,2018-11-29 21:52:42,2025-08-15 16:00:02,2025-09-28 22:48:44,1.0
189620016,2372.01,TOI-2372.01,2372,189620016.01,1,FP,12.2186,0.007,-0.007,1,0,09h36m09.75s,144.040606,,,,-24d45m04.02s,-24.751118,,,,-6.376,0.053,-0.053,1.0,0.0,1.579,0.051,-0.051,1.0,0.0,2459989.454493,0.001547,-0.001547,1,0,1.1792344,0.0001304,-0.0001304,1,0,1.7572263,0.1091569,-0.1091569,1,0,5398.6996811,363.7887,-363.7887,1,0,26.9739777,15.517121,-15.517121,1,0,16257.6914094,,,,,2879.9468214,,,,,1092.91,38.565,-38.565,1,0,6127.1,124.1,-124.1,1,0,3.67,0.09,-0.09,1,0,2.6058199,0.155106,-0.155106,1,0,,2020-10-23 19:58:29,2024-01-29 12:03:01,2025-09-28 22:48:44,0.0
332558858,2373.01,TOI-2373.01,2373,332558858.01,1,CP,12.5882,0.007,-0.007,1,0,04h06m44.69s,61.68622,,,,-16d45m20.72s,-16.755755,,,,11.289,0.038,-0.038,1.0,0.0,-39.175,0.034,-0.034,1.0,0.0,2459168.5071,0.002186,-0.002186,1,0,13.3368173,5.79e-05,-5.79e-05,1,0,4.384,0.505,-0.505,1,0,8210.0,5.88429,-5.88429,1,0,11.2448,0.670513,-0.670513,1,0,69.8726,,,,,805.0,,,,,508.686,7.327,-7.327,1,0,5517.0,120.9,-120.9,1,0,4.26,0.08,-0.08,1,0,1.2,0.06,-0.06,1,0,,2020-10-23 19:58:29,2024-02-28 12:02:45,2025-09-28 22:48:44,1.0
439366538,2374.01,TOI-2374.01,2374,439366538.01,1,CP,11.2057,0.006,-0.006,1,0,21h17m59.58s,319.498241,,,,-22d02m59.36s,-22.049823,,,,-11.514,0.068,-0.068,1.0,0.0,-31.331,0.055,-0.055,1.0,0.0,2458326.555387,,,1,0,4.31362,1e-05,-1e-05,1,0,1.709,0.189,-0.189,1,0,9490.0,7.69056,-7.69056,1,0,8.01917,0.587255,-0.587255,1,0,54.2011,,,,,755.0,,,,,134.655,0.8695,-0.8695,1,0,4929.5,5084.0,-5084.0,1,0,0.1,,,1,0,0.8,0.05,-0.05,1,0,,2020-10-28 23:31:58,2025-04-20 12:03:53,2025-09-28 22:48:44,1.0
201177276,2379.01,TOI-2379.01,2379,201177276.01,1,CP,13.6521,0.007,-0.007,1,0,23h52m22.09s,358.092047,,,,-53d02m35.36s,-53.043156,,,,16.528,0.029,-0.029,1.0,0.0,1.74,0.036,-0.036,1.0,0.0,2459062.464298,0.000355,-0.000355,1,0,5.4693888,3.6e-06,-3.6e-06,1,0,1.8076781,0.0572665,-0.0572665,1,0,32411.855989,576.6857,-576.6857,1,0,11.5779216,0.4419449,-0.4419449,1,0,27.5364506,,,,,584.247334,,,,,211.247,1.0895,-1.0895,1,0,3770.0,157.0,-157.0,1,0,4.61871,0.0116763,-0.0116763,1,0,0.638902,0.0190863,-0.0190863,1,0,,2020-11-06 18:59:45,2025-04-20 12:03:53,2025-09-28 22:48:44,1.0
9006668,238.01,TOI-238.01,238,9006668.01,1,CP,9.926601,0.006,-0.006,1,0,23h16m55.46s,349.231081,,,,-18d36m23.93s,-18.606646,,,,-53.238,0.077,-0.077,1.0,0.0,-0.195,0.059,-0.059,1.0,0.0,2460205.747992,0.002474,-0.002474,1,0,1.2730965,2.7e-06,-2.7e-06,1,0,1.48,0.212,-0.212,1,0,414.0,33.7341,-33.7341,1,0,1.57925,0.123934,-0.123934,1,0,660.277,,,,,1412.0,,,,,80.5407,0.26635,-0.26635,1,0,5024.0,181.0,-181.0,1,0,4.5685,0.30183,-0.30183,1,0,0.77,0.05,-0.05,1,0,,2018-11-29 21:52:42,2024-04-26 10:08:02,2025-09-28 22:48:44,1.0
176220787,2380.01,TOI-2380.01,2380,176220787.01,1,KP,9.4834,0.007,-0.007,1,0,00h01m18.18s,0.325761,,,,-08d55m34.5s,-8.926251,,,,2.473,0.086,-0.086,1.0,0.0,9.647,0.059,-0.059,1.0,0.0,2459092.524257,0.000291,-0.000291,1,0,5.2153618,2.7e-06,-2.7e-06,1,0,5.5895721,0.0370923,-0.0370923,1,0,5205.8347338,38.638004,-38.638004,1,0,17.7519701,0.8672725,-0.8672725,1,0,1843.4632721,,,,,1671.1997882,,,,,275.587,4.533,-4.533,1,0,6067.2,119.7,-119.7,1,0,3.73,0.08,-0.08,1,0,2.3901401,0.115251,-0.115251,1,0,,2020-11-06 18:59:45,2024-11-27 10:08:01,2025-09-28 22:48:44,1.0
63898957,261.01,TOI-261.01,261,63898957.01,1,CP,9.03971,0.006,-0.006,1,0,01h00m52.35s,15.218141,,,,-24d25m26.37s,-24.423993,,,,108.36,0.088,-0.088,1.0,0.0,-11.198,0.061,-0.061,1.0,0.0,2458383.915624,0.001762,-0.001762,1,0,3.3639254,1.56e-05,-1.56e-05,1,0,3.3430495,0.1936962,-0.1936962,1,0,422.0610761,29.08252,-29.08252,1,0,3.0449863,0.2114907,-0.2114907,1,0,874.7955667,,,,,1387.0636575,,,,,114.495,0.5545,-0.5545,1,0,5890.3,57.0,-57.0,1,0,3.92,0.08,-0.08,1,0,1.28018,0.0545025,-0.0545025,1,0,,2018-11-30 22:06:23,2021-10-29 12:59:15,2025-09-28 22:48:44,1.0
63898957,261.02,TOI-261.02,261,63898957.02,2,CP,9.03971,0.006,-0.006,1,0,01h00m52.35s,15.218141,,,,-24d25m26.37s,-24.423993,,,,108.36,0.088,-0.088,1.0,0.0,-11.198,0.061,-0.061,1.0,0.0,2458389.727185,0.003037,-0.003037,1,0,13.0393586,0.0043165,-0.0043165,1,0,4.9218325,0.5314454,-0.5314454,1,0,625.5995687,58.03166,-58.03166,1,0,3.3482223,1.2696187,-1.2696187,1,0,243.5260946,,,,,1007.5256829,,,,,114.495,0.5545,-0.5545,1,0,5890.3,57.0,-57.0,1,0,3.92,0.08,-0.08,1,0,1.31383,0.136209,-0.136209,1,0,,2018-11-30 22:06:23,2022-01-22 12:02:01,2025-09-28 22:48:44,1.0
268914377,2610.01,TOI-2610.01,2610,268914377.01,1,FP,15.8953,0.009,-0.009,1,0,07h52m11.98s,118.049909,,,,-48d29m54.95s,-48.498597,,,,-12.269,0.275,-0.275,1.0,0.0,5.577,0.245,-0.245,1.0,0.0,2459229.716478,0.002271,-0.002271,1,0,2.1538959,0.0001627,-0.0001627,1,0,2.1776943,0.1185418,-0.1185418,1,0,96363.0926604,5937.473,-5937.473,1,0,16.0166732,1.006073,-1.006073,1,0,31.4140709,,,,,603.8106997,,,,,296.761,11.16,-11.16,1,0,3148.0,157.0,-157.0,1,0,4.75166,0.0141944,-0.0141944,1,0,0.483749,0.0205474,-0.0205474,1,0,,2021-04-12 20:27:30,2025-08-29 16:00:02,2025-09-28 22:48:44,0.0
