pl_rade,pl_trandep,pl_orbper,pl_trandurh,pl_insol,pl_eqt,st_rad,st_logg,st_teff,st_tmag,st_dist
3.43106,1240.0,1.2168732,0.86,153.719,980.0,0.78,4.51,4634.6,10.1917,72.7512
1.404,393.0,1.4520486,1.339,266.85,1125.0,0.69,4.57376,4184.0,9.1043,32.4778
1.60037,376.0,1.0697621,1.356,1061.92,1590.0,0.8,4.53834,4946.0,9.0739,55.0135
19.9197757,10471.4949697,3.0726434,2.2602485,2446.8848714,1793.7963398,1.55831,4.25661,7164.0,8.51017,151.528
12.090823,15989.231101,6.9561134,3.3628003,136.9557694,872.4987884,0.940037,4.46259,5387.0,11.2287,201.918
3.84805,1339.5837664,13.001789,4.4847322,90.515093,786.6834253,1.00826,4.46,5914.0,10.1308,155.141
1.97737,701.0,7.4341456,2.424,48.0098,733.0,0.78,4.57887,5064.0,8.3879,41.1706
2.00342,331.0,18.840891,5.765,94.5008,868.0,1.22,4.32207,6093.0,8.69378,103.297
2.259057,769.5996824,5.1396666,0.8991981,143.9144538,883.3765229,0.815924,5.96065,5374.0,10.3237,110.513
2.49195,799.0,9.4280902,1.377,25.1545,623.0,0.82,5.96065,5374.0,10.3237,110.513
3.68027,560.0,27.6438617,5.321,68.4355,801.0,1.62,4.043,5873.0,9.98671,230.306
1.1833779,1281.2294665,0.4090681,0.6165726,207.0242436,967.4422529,0.308799,4.91612,3328.0,12.4934,41.1659
2.11441,956.0,23.5407467,4.025,16.8576,564.0,0.75,4.63898,5236.0,9.9377,85.8034
1.4344026,209.49313,0.4702719,1.3258819,5028.6262848,2147.7419002,0.92499,4.48625,5466.0,10.1522,125.463
2.6354043,4723.0724376,8.0970819,3.127852,5.3632275,388.1291894,0.381586,4.84373,3391.0,13.1717,73.3345
1.0924808,465.1929875,2.0439268,1.008937,44.9492524,660.3898166,0.473603,4.7606,3407.0,10.0306,22.4467
2.51948,608.0,16.5379864,2.796,53.0216,751.0,1.03,4.43068,5781.0,8.9989,91.9362
1.6184944,3249.1164334,11.0619937,1.7587777,2.0225025,304.152939,0.275364,4.95407,3248.0,12.295,30.5212
2.12746,852.0,6.5886877,1.678,28.9612,646.0,0.71,4.64,4920.0,10.1426,78.7415
1.17405,274.0,4.3135263,1.874,142.833,963.0,0.71,4.64,4920.0,10.1426,78.7415
10.3984,6066.0,18.712253,6.475,171.765,1008.0,1.27,4.29,6125.0,8.0417,80.6665
1.28228,110.0,2.1779407,2.098,759.183,1462.0,1.26,4.25132,5801.89,5.8961,27.0498
1.8721145,1437.1086027,5.9711357,1.5478671,18.0882455,525.9795517,0.490737,4.74552,3834.0,10.5977,37.4418
2.013576,2937.4953214,15.5324385,1.7640717,2.1399188,308.4743596,0.369306,4.85532,3382.0,10.8858,24.7399
1.4548629,1214.0066593,1.880531,1.1911684,35.7280633,623.5511988,0.369306,4.85532,3382.0,10.8858,24.7399
2.2007181,1847.4872236,2.5272822,1.265861,45.3608214,661.896336,0.49012,4.74607,3624.0,11.4752,51.9503
3.91576,1415.0,20.7724316,5.508,209.722,1060.0,0.97,4.46798,5625.56,8.5725,67.5478
3.28372,1193.0,52.5637056,6.5,14.3711,542.0,0.97,4.46798,5625.56,8.5725,67.5478
4.4784698,2368.6952027,6.3634106,2.692302,110.0200699,826.0146095,0.859483,4.50257,5103.0,10.5508,121.84
2.1916,567.0,5.2544884,2.898,284.941,1144.0,0.99,4.48217,5958.0,8.297,67.6203
12.3422,11500.0,10.1802014,4.613,261.013,1119.0,1.04,4.4,5623.0,10.2042,152.892
12.9814741,6358.0060702,5.0267996,2.754044,853.1354811,1378.3967823,1.4782799,4.21,6434.0,10.3002,278.514
17.2767,17453.0,2.0560153,2.773,1899.83,1839.0,1.24,4.37,6485.0,10.377,247.054
19.576504,8984.9897271,1.902606,2.3653693,17123.005499,2917.5260913,1.82241,4.32,9918.0,8.75127,225.888
14.6101,4220.0,5.33155,6.191,1071.42,1593.0,2.22,3.78,5917.0,10.1035,336.608
20.9625,4510.0,8.7094632,3.027,327.472,1185.0,1.59,4.03,5597.0,9.62924,159.748
2.39173,807.0,12.0557353,1.959,19.3677,584.0,0.83,4.58,5504.0,8.9943,66.0929
1.8303854,1519.669587,0.98933,1.0357615,122.2150262,848.0098579,0.465258,4.76798,3455.0,11.0136,35.2736
1.3929217,2089.2444115,1.9495403,0.8060618,23.3722044,560.7827791,0.260187,4.97292,3414.0,11.0548,18.2276
2.1822904,412.2881337,5.8775548,2.9027641,267.1706249,1031.1383185,1.00568,4.47,5977.0,9.56906,122.494
2.3437,456.0,2.6800536,1.758,342.997,1198.0,1.07,4.37,5550.0,9.52906,111.276
1.4202459,4358.1157678,4.8026561,1.1658648,4.4510969,370.455897,0.213459,5.04064,3231.0,13.3081,37.2209
2.4878486,1117.9638175,3.057524,1.3790503,122.3379291,848.2229732,0.695095,4.59,4402.0,9.794,51.1884
1.9200407,1254.3711932,0.6691449,0.9921631,204.6910522,964.704855,0.462408,4.7705,3457.0,11.1117,37.6153
,484643.7441389,1.4079369,0.3063531,1652.8943345,1626.2264571,,4.438,5780.0,16.338,24.7359
2.88015,989.0,16.7368995,4.561,80.3869,834.0,1.0,4.44767,5759.0,9.52636,111.445
1.5574734,830.5082973,1.766692,1.4196682,57.0208084,700.8548645,0.46126,4.77152,3474.0,10.6714,30.7947
5.4800266,4361.1801082,3.7701296,2.8512056,195.2881696,953.4195932,0.81833,4.53907,5058.0,10.7424,124.68
